title,company,city,country,job_type,date_published,month_posted,day_of_week,is_remote,salary,has_salary,company_rating,occupation,jobUrl,source,date_scraped
Alternance - Analyste RSE,Regen School,Paris,France,Alternance,2026-01-12,2026-01,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 2000, ""salaryMin"": 950, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 950 \u20ac \u00e0 2\u202f000 \u20ac par mois"", ""salaryType"": ""monthly""}",True,0.0,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers du conseil financier, de l'analyse et de la gestion de placements"", ""M\u00e9tiers de l'analyse financi\u00e8re""]",https://fr.indeed.com/viewjob?jk=d369e8c0dc7b8bbd,Indeed,2026-03-15
Analyste Développeur Mainframe COBOL (H/F),Inetum,Lille,France,Temps plein,2025-09-25,2025-09,Thursday,False,{},False,3.1,"[""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=234c3609481cc403,Inetum,2026-03-15
Analyste en veille concurrentielle/Business development H/F,Hays,Illkirch-Graffenstaden,France,CDI,2026-03-11,2026-03,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 65000, ""salaryMin"": 60000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 60\u202f000 \u20ac \u00e0 65\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers de la strat\u00e9gie commerciale"", ""M\u00e9tiers de la strat\u00e9gie et de la direction d'entreprise"", ""M\u00e9tiers de la gestion des organisations et de l'administration""]",https://fr.indeed.com/viewjob?jk=45669134ac1a04cd,Hays France,2026-03-15
Analyste Consolidation & Reporting F/H,Robert Half,Issy-les-Moulineaux,France,CDI,2026-03-12,2026-03,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 77000, ""salaryMin"": 70000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 70\u202f000 \u20ac \u00e0 77\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.9,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers de la comptabilit\u00e9""]",https://fr.indeed.com/viewjob?jk=17fda55c1f44a3bd,Robert Half,2026-03-15
Alternance Chargé(e) Marketing Digital / Data analyst (F/H),ISCOD,Lyon,France,Contrat d'apprentissage,2026-02-24,2026-02,Tuesday,False,{},False,3.3,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=bda8fa2faf408ca2,ISCOD,2026-03-15
Change Control Analyst H/F,Temporis Experts & Cadres,Pluvigner,France,Intérim,2026-03-05,2026-03,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 34000, ""salaryMin"": 32000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 32\u202f000 \u20ac \u00e0 34\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,5.0,[],https://fr.indeed.com/viewjob?jk=c4d63828626836bc,temporis,2026-03-15
ANALYSTE FONCTIONNEL COMPTABILITÉ H/F,GROUPE CAM,Strasbourg,France,CDI,2025-10-02,2025-10,Thursday,False,{},False,4.0,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""Ing\u00e9nieurs/es et analystes en applications et syst\u00e8mes informatiques"", ""M\u00e9tiers des infrastructures et de la s\u00e9curit\u00e9 informatique"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers des infrastructures informatiques"", ""M\u00e9tiers des syst\u00e8mes et des applications informatiques""]",https://fr.indeed.com/viewjob?jk=0dd14fba561065a7,GROUPE CAM,2026-03-15
Data Analyst (H/F) en alternance,Ecole Coda,Dijon,France,Alternance,2026-01-19,2026-01,Monday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 1767, ""salaryMin"": 760, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 760 \u20ac \u00e0 1\u202f767 \u20ac par mois"", ""salaryType"": ""monthly""}",True,0.0,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=6b2a6a6179d7a2ba,Indeed,2026-03-15
Business Data Analyst – Power BI (H/F),Soprofen,Mertzwiller,France,CDI,2026-03-11,2026-03,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 45000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 45\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,4.0,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=afa9562c0483d918,Indeed,2026-03-15
Analyste développeur Cobol (H/F),Euro-Information,Cergy,France,CDI,2024-11-24,2024-11,Sunday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 65000, ""salaryMin"": 45000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 45\u202f000 \u20ac \u00e0 65\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=56e188e2d7528198,Crédit Mutuel,2026-03-15
Analyste développeur .Net C# / SQL (H/F),Euro-Information,Strasbourg,France,CDI,2025-09-18,2025-09,Thursday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 55000, ""salaryMin"": 35000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 35\u202f000 \u20ac \u00e0 55\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,3.5,"[""M\u00e9tiers du d\u00e9veloppement logiciel"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers de l'architecture et du d\u00e9veloppement de logiciels""]",https://fr.indeed.com/viewjob?jk=6841afd658d42e5a,Crédit Mutuel,2026-03-15
Analyste Contrôle de Gestion & Support Client H/F,Snap-on Business Solutions France,Le Pecq,France,CDI,2026-01-07,2026-01,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 32000, ""salaryMin"": 30000, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 30\u202f000 \u20ac \u00e0 32\u202f000 \u20ac par an"", ""salaryType"": ""yearly""}",True,0.0,"[""M\u00e9tiers de la finance et de la comptabilit\u00e9"", ""M\u00e9tiers de la comptabilit\u00e9"", ""M\u00e9tiers comptables"", ""M\u00e9tiers de la gestion des co\u00fbts""]",https://fr.indeed.com/viewjob?jk=65344e6be163dc92,Indeed,2026-03-15
Data Analyst (H/F) en alternance,Ecole Coda,Orléans,France,Alternance,2026-02-18,2026-02,Wednesday,False,"{""salaryCurrency"": ""EUR"", ""salaryMax"": 1767, ""salaryMin"": 760, ""salarySource"": ""EXTRACTION"", ""salaryText"": ""De 760 \u20ac \u00e0 1\u202f767 \u20ac par mois"", ""salaryType"": ""monthly""}",True,0.0,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies""]",https://fr.indeed.com/viewjob?jk=b23b56339222130f,Indeed,2026-03-15
WEB MARKETING ANALYST H/F,MaxiCoffee,Mios,France,CDI,2026-02-20,2026-02,Friday,False,{},False,2.6,"[""M\u00e9tiers de la data et des bases de donn\u00e9es"", ""Analystes de donn\u00e9es"", ""M\u00e9tiers de l'informatique et des nouvelles technologies"", ""M\u00e9tiers du marketing, de la publicit\u00e9 et des relations publiques""]",https://fr.indeed.com/viewjob?jk=4e3cdc3dfeb8fa43,MaxiCoffee,2026-03-15
